workclass,race,sex,native-country,income,age_range,hours-per-week_range,education-degree
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,41-60,Assoc
private,black,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,45-60,0-20,Assoc
private,amer-indian-eskimo,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,41-60,Bach
self-emp-not-inc,black,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,>50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,Bach
self-emp-inc,asian-pac-islander,male,philippines,>50k,45-60,41-60,Mast
private,white,male,united-states,>50k,15-30,21-40,Assoc
private,black,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,45-60,21-40,Bach
private,asian-pac-islander,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,HS-College
self-emp-inc,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,60-75,21-40,HS-College
self-emp-not-inc,asian-pac-islander,female,south,<=50k,30-45,0-20,HS-College
private,white,female,united-states,<=50k,30-45,41-60,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,75-90,21-40,MiddleSchool
local-gov,white,female,united-states,<=50k,30-45,21-40,Assoc
,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,female,germany,<=50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Bach
self-emp-not-inc,black,female,united-states,<=50k,30-45,0-20,HS-College
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,Elementary
self-emp-not-inc,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,peru,<=50k,30-45,41-60,HS-College
,white,male,united-states,<=50k,45-60,81-100,MiddleSchool
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,30-45,81-100,HS-College
local-gov,white,male,united-states,<=50k,15-30,41-60,Mast
local-gov,white,male,united-states,<=50k,30-45,21-40,Mast
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,>50k,45-60,21-40,HS-College
local-gov,white,male,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,45-60,61-80,HS-College
local-gov,black,male,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,0-20,Assoc
self-emp-inc,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,45-60,41-60,Assoc
private,white,female,united-states,<=50k,30-45,41-60,Bach
private,white,male,el-salvador,<=50k,45-60,21-40,Preschool
private,asian-pac-islander,male,taiwan,<=50k,15-30,41-60,Bach
,white,female,united-states,<=50k,75-90,0-20,Bach
private,white,female,united-states,<=50k,15-30,41-60,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Assoc
state-gov,amer-indian-eskimo,female,united-states,>50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
local-gov,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,60-75,0-20,Assoc
private,white,male,united-states,<=50k,45-60,0-20,HS-College
private,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,21-40,Bach
local-gov,white,male,united-states,<=50k,60-75,0-20,HS-College
self-emp-not-inc,black,male,united-states,<=50k,45-60,41-60,HS-College
self-emp-not-inc,white,male,united-states,>50k,30-45,41-60,Mast
private,white,female,united-states,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,el-salvador,<=50k,15-30,21-40,Elementary
private,white,male,united-states,>50k,30-45,41-60,Assoc
self-emp-inc,white,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,>50k,45-60,41-60,HS-College
private,white,female,united-states,<=50k,30-45,41-60,HS-College
private,black,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,male,united-states,>50k,30-45,21-40,Assoc
self-emp-not-inc,white,female,germany,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
state-gov,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
state-gov,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,iran,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
,white,male,united-states,<=50k,60-75,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,60-75,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
state-gov,white,male,united-states,<=50k,30-45,21-40,HS-College
state-gov,white,female,united-states,<=50k,45-60,41-60,Assoc
,white,male,united-states,<=50k,15-30,0-20,Assoc
self-emp-inc,white,male,united-states,<=50k,45-60,41-60,Bach
private,white,male,united-states,>50k,30-45,41-60,Postmaster
,black,male,united-states,<=50k,60-75,21-40,Elementary
private,white,female,,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,ecuador,<=50k,45-60,21-40,HS-College
private,black,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,41-60,MiddleSchool
private,white,male,united-states,<=50k,45-60,21-40,HS-College
state-gov,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,>50k,45-60,0-20,Assoc
private,white,female,united-states,<=50k,15-30,41-60,Bach
private,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
local-gov,white,male,united-states,<=50k,30-45,21-40,Assoc
private,asian-pac-islander,female,vietnam,<=50k,15-30,21-40,Assoc
,amer-indian-eskimo,female,united-states,>50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,61-80,MiddleSchool
local-gov,white,female,dominican-republic,<=50k,45-60,41-60,HS-College
private,white,male,,>50k,45-60,21-40,Mast
private,white,female,united-states,<=50k,15-30,21-40,Bach
,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
self-emp-inc,white,male,united-states,<=50k,45-60,41-60,HS-College
local-gov,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,45-60,21-40,HS-College
local-gov,white,female,united-states,<=50k,30-45,21-40,Bach
private,black,male,haiti,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,60-75,21-40,Assoc
private,white,male,canada,>50k,60-75,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,60-75,21-40,Assoc
private,white,male,united-states,<=50k,15-30,41-60,MiddleSchool
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,60-75,21-40,Elementary
private,black,male,united-states,<=50k,15-30,21-40,HS-College
private,black,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-inc,white,male,united-states,<=50k,75-90,21-40,MiddleSchool
federal-gov,asian-pac-islander,male,,<=50k,45-60,61-80,Assoc
private,white,female,united-states,<=50k,15-30,41-60,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,30-45,41-60,Assoc
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,45-60,41-60,Bach
self-emp-not-inc,white,male,united-states,<=50k,30-45,61-80,Assoc
private,white,female,united-states,<=50k,15-30,0-20,HS-College
private,white,female,united-states,<=50k,45-60,0-20,HS-College
private,white,female,united-states,<=50k,60-75,0-20,Bach
local-gov,white,female,united-states,>50k,45-60,41-60,Mast
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
,white,female,united-states,<=50k,45-60,21-40,Elementary
private,white,male,united-states,<=50k,15-30,41-60,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,HS-College
,white,female,united-states,>50k,45-60,21-40,Mast
private,black,male,united-states,<=50k,30-45,21-40,Assoc
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,el-salvador,<=50k,15-30,41-60,MiddleSchool
private,white,female,united-states,<=50k,15-30,0-20,Bach
private,white,female,united-states,<=50k,15-30,41-60,HS-College
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
private,white,female,united-states,<=50k,15-30,21-40,Assoc
self-emp-inc,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
local-gov,black,male,united-states,<=50k,45-60,21-40,HS-College
private,black,female,united-states,<=50k,30-45,21-40,Assoc
local-gov,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,>50k,45-60,41-60,MiddleSchool
private,white,female,outlying-us(guam-usvi-etc),<=50k,15-30,41-60,Bach
private,white,female,united-states,<=50k,30-45,21-40,Assoc
state-gov,white,male,united-states,<=50k,15-30,21-40,Bach
self-emp-not-inc,white,male,united-states,<=50k,60-75,0-20,Postmaster
private,black,male,united-states,<=50k,15-30,21-40,Mast
private,white,male,united-states,>50k,60-75,41-60,HS-College
private,white,female,united-states,<=50k,15-30,41-60,Assoc
,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
self-emp-not-inc,white,male,,<=50k,30-45,21-40,Bach
federal-gov,black,male,united-states,<=50k,15-30,21-40,HS-College
local-gov,white,female,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,black,female,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,<=50k,60-75,21-40,Bach
federal-gov,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,black,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Bach
private,white,male,united-states,>50k,30-45,41-60,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,45-60,61-80,HS-College
self-emp-not-inc,white,male,united-states,>50k,15-30,61-80,Bach
private,white,male,united-states,<=50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,45-60,41-60,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,asian-pac-islander,female,vietnam,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,45-60,21-40,Bach
private,white,male,united-states,>50k,30-45,41-60,HS-College
private,white,male,united-states,>50k,30-45,41-60,Bach
private,white,male,united-states,>50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,Assoc
federal-gov,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,HS-College
,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,60-75,0-20,HS-College
local-gov,white,female,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,45-60,41-60,Bach
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,mexico,<=50k,15-30,21-40,Assoc
federal-gov,white,female,puerto-rico,<=50k,60-75,21-40,Elementary
private,black,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,60-75,0-20,HS-College
private,white,female,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,black,female,jamaica,<=50k,30-45,21-40,HS-College
private,amer-indian-eskimo,male,united-states,<=50k,30-45,21-40,Bach
,white,female,united-states,<=50k,60-75,0-20,MiddleSchool
private,white,male,united-states,<=50k,15-30,41-60,Assoc
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,mexico,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,81-100,Mast
private,black,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,HS-College
local-gov,white,male,united-states,>50k,30-45,21-40,Mast
private,white,female,united-states,<=50k,15-30,21-40,HS-College
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,MiddleSchool
private,asian-pac-islander,male,cambodia,<=50k,30-45,21-40,Elementary
private,white,male,united-states,>50k,30-45,41-60,Assoc
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,>50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,21-40,Assoc
self-emp-not-inc,white,male,united-states,<=50k,30-45,81-100,HS-College
,white,female,united-states,<=50k,45-60,0-20,HS-College
private,white,female,ecuador,<=50k,15-30,21-40,Assoc
self-emp-not-inc,white,male,united-states,>50k,30-45,21-40,Mast
private,white,male,united-states,>50k,30-45,61-80,Mast
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,white,female,united-states,<=50k,45-60,21-40,HS-College
,white,male,nicaragua,<=50k,45-60,21-40,Assoc
self-emp-not-inc,white,female,united-states,<=50k,60-75,21-40,Assoc
private,black,male,united-states,<=50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Bach
self-emp-not-inc,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,mexico,<=50k,15-30,21-40,Bach
private,white,male,,<=50k,60-75,41-60,Elementary
private,white,male,united-states,>50k,45-60,41-60,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,60-75,21-40,Bach
local-gov,white,male,united-states,>50k,45-60,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,60-75,0-20,Elementary
private,white,male,canada,<=50k,30-45,41-60,Postmaster
self-emp-inc,white,male,united-states,<=50k,15-30,41-60,Assoc
local-gov,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,black,female,united-states,<=50k,15-30,21-40,Assoc
,asian-pac-islander,male,philippines,<=50k,30-45,61-80,Bach
self-emp-inc,white,male,united-states,>50k,30-45,21-40,Mast
federal-gov,white,male,united-states,>50k,45-60,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,>50k,30-45,41-60,HS-College
private,white,female,united-states,<=50k,15-30,0-20,Assoc
local-gov,white,male,united-states,>50k,30-45,41-60,Mast
private,white,male,united-states,>50k,45-60,41-60,HS-College
self-emp-not-inc,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,black,female,united-states,<=50k,15-30,21-40,HS-College
private,amer-indian-eskimo,female,united-states,<=50k,30-45,81-100,Assoc
private,white,male,united-states,>50k,45-60,61-80,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
private,white,female,united-states,<=50k,60-75,0-20,Assoc
federal-gov,white,male,germany,>50k,45-60,41-60,Postmaster
private,white,male,united-states,<=50k,30-45,41-60,MiddleSchool
federal-gov,white,male,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
federal-gov,white,female,united-states,<=50k,30-45,21-40,Bach
private,white,female,united-states,>50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,black,male,jamaica,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
federal-gov,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,>50k,30-45,21-40,Bach
private,white,male,united-states,>50k,30-45,41-60,Mast
private,asian-pac-islander,male,south,<=50k,30-45,21-40,HS-College
private,white,female,united-states,>50k,15-30,21-40,Assoc
,white,female,iran,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,15-30,0-20,Assoc
private,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
self-emp-not-inc,white,male,puerto-rico,>50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,60-75,21-40,Assoc
private,white,male,united-states,<=50k,45-60,0-20,Assoc
private,white,female,united-states,>50k,30-45,21-40,MiddleSchool
local-gov,white,male,united-states,<=50k,15-30,0-20,MiddleSchool
private,white,male,united-states,>50k,30-45,61-80,Bach
self-emp-not-inc,black,male,jamaica,>50k,45-60,21-40,Bach
private,black,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,canada,<=50k,15-30,41-60,HS-College
private,white,male,united-states,<=50k,60-75,0-20,Assoc
federal-gov,black,male,united-states,<=50k,45-60,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
self-emp-inc,white,male,united-states,>50k,30-45,21-40,HS-College
self-emp-not-inc,white,female,united-states,>50k,45-60,0-20,Bach
private,white,male,mexico,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,0-20,HS-College
,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,female,,<=50k,15-30,0-20,HS-College
private,white,female,united-states,<=50k,45-60,41-60,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,female,united-states,<=50k,15-30,0-20,MiddleSchool
local-gov,white,female,united-states,>50k,45-60,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Bach
private,asian-pac-islander,male,taiwan,<=50k,30-45,41-60,Assoc
private,white,male,united-states,>50k,45-60,21-40,Assoc
private,white,male,,>50k,30-45,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,Assoc
self-emp-inc,white,male,united-states,>50k,45-60,41-60,Assoc
private,white,male,united-states,<=50k,45-60,21-40,HS-College
,asian-pac-islander,female,south,<=50k,15-30,0-20,HS-College
private,white,male,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,30-45,41-60,Mast
private,white,female,united-states,<=50k,15-30,21-40,Bach
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,<=50k,45-60,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,MiddleSchool
private,white,female,united-states,<=50k,15-30,0-20,Assoc
self-emp-inc,white,male,united-states,>50k,30-45,41-60,HS-College
private,white,female,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,black,male,united-states,<=50k,45-60,21-40,MiddleSchool
private,white,male,united-states,>50k,45-60,21-40,HS-College
,black,female,united-states,<=50k,45-60,21-40,Assoc
private,black,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,female,united-states,<=50k,30-45,41-60,Assoc
private,white,male,canada,<=50k,15-30,21-40,Bach
private,amer-indian-eskimo,male,united-states,<=50k,15-30,61-80,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,mexico,<=50k,45-60,21-40,Bach
private,white,male,united-states,<=50k,60-75,0-20,HS-College
private,black,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,30-45,21-40,Bach
state-gov,white,male,iran,>50k,45-60,21-40,Postmaster
private,white,male,united-states,<=50k,30-45,41-60,Assoc
,white,female,united-states,<=50k,30-45,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,HS-College
,white,female,united-states,>50k,45-60,41-60,Mast
private,white,male,united-states,>50k,60-75,41-60,Postmaster
private,white,male,united-states,<=50k,15-30,21-40,HS-College
self-emp-inc,white,male,united-states,>50k,30-45,41-60,Mast
self-emp-inc,black,male,united-states,>50k,30-45,81-100,Mast
private,white,female,united-states,<=50k,30-45,61-80,Bach
private,white,male,united-states,>50k,30-45,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,MiddleSchool
local-gov,white,male,united-states,>50k,45-60,41-60,Mast
private,black,female,united-states,<=50k,45-60,21-40,HS-College
private,white,female,yugoslavia,<=50k,15-30,21-40,Assoc
federal-gov,white,male,united-states,<=50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,45-60,41-60,MiddleSchool
self-emp-inc,white,male,united-states,<=50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,15-30,21-40,HS-College
self-emp-inc,asian-pac-islander,female,united-states,<=50k,15-30,21-40,Bach
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,15-30,41-60,HS-College
self-emp-not-inc,white,male,italy,<=50k,45-60,21-40,Elementary
state-gov,white,male,canada,<=50k,30-45,41-60,Mast
state-gov,other,male,united-states,<=50k,30-45,21-40,HS-College
self-emp-not-inc,white,male,united-states,<=50k,15-30,61-80,HS-College
state-gov,white,male,united-states,<=50k,30-45,21-40,Bach
,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,0-20,Assoc
private,other,male,,<=50k,15-30,41-60,Assoc
private,white,female,united-states,<=50k,45-60,0-20,HS-College
,white,male,united-states,<=50k,60-75,0-20,MiddleSchool
private,white,male,united-states,>50k,45-60,21-40,Mast
private,white,female,united-states,>50k,45-60,21-40,Assoc
private,white,male,united-states,<=50k,30-45,21-40,Assoc
private,white,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,HS-College
private,black,male,united-states,>50k,30-45,21-40,MiddleSchool
private,white,male,united-states,>50k,45-60,21-40,HS-College
private,white,female,united-states,<=50k,45-60,21-40,HS-College
private,white,male,united-states,>50k,60-75,21-40,MiddleSchool
self-emp-not-inc,white,male,united-states,>50k,45-60,21-40,Mast
state-gov,white,male,united-states,>50k,45-60,21-40,Mast
private,white,male,united-states,<=50k,15-30,21-40,HS-College
state-gov,white,male,united-states,<=50k,15-30,21-40,Assoc
private,white,female,united-states,>50k,30-45,41-60,Bach
federal-gov,white,male,united-states,>50k,30-45,41-60,Mast
private,asian-pac-islander,male,india,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,black,female,united-states,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,45-60,41-60,HS-College
private,white,female,jamaica,<=50k,15-30,21-40,HS-College
private,black,male,united-states,>50k,45-60,21-40,MiddleSchool
private,white,male,canada,<=50k,15-30,0-20,Assoc
private,white,female,canada,<=50k,15-30,21-40,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,>50k,45-60,21-40,MiddleSchool
local-gov,white,female,united-states,>50k,30-45,41-60,Bach
private,white,female,united-states,<=50k,15-30,21-40,MiddleSchool
private,white,male,united-states,<=50k,15-30,41-60,Assoc
state-gov,white,male,united-states,>50k,45-60,21-40,Bach
self-emp-not-inc,white,male,united-states,<=50k,30-45,61-80,Assoc
private,white,male,united-states,<=50k,45-60,41-60,Elementary
private,black,female,united-states,<=50k,30-45,21-40,Assoc
,white,male,united-states,<=50k,15-30,21-40,Assoc
,white,female,united-states,<=50k,30-45,41-60,MiddleSchool
private,black,male,united-states,<=50k,30-45,21-40,HS-College
private,white,male,united-states,>50k,45-60,21-40,Bach
private,white,female,united-states,<=50k,15-30,41-60,Bach
local-gov,white,female,united-states,<=50k,30-45,21-40,Bach
private,black,male,united-states,<=50k,30-45,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
private,white,male,united-states,<=50k,45-60,21-40,Assoc
private,black,male,outlying-us(guam-usvi-etc),<=50k,15-30,21-40,Assoc
self-emp-inc,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,female,,<=50k,45-60,0-20,Assoc
private,white,male,united-states,<=50k,15-30,21-40,Bach
private,asian-pac-islander,male,india,<=50k,15-30,21-40,Bach
private,white,male,united-states,<=50k,15-30,21-40,Assoc
federal-gov,white,female,united-states,<=50k,30-45,41-60,Bach
federal-gov,white,male,united-states,<=50k,30-45,21-40,HS-College
private,white,female,united-states,<=50k,15-30,21-40,HS-College
private,white,male,united-states,<=50k,45-60,41-60,HS-College
private,white,male,united-states,>50k,60-75,41-60,HS-College
,white,male,united-states,<=50k,15-30,41-60,Bach
private,white,male,united-states,<=50k,30-45,41-60,HS-College
